in s,C1 in V
-7.1523716E-01,1.3474E+00
-7.1517028E-01,1.3048E+00
-7.1510340E-01,1.3367E+00
-7.1503652E-01,1.3687E+00
-7.1496964E-01,1.3580E+00
-7.1490276E-01,1.3580E+00
-7.1483588E-01,1.3687E+00
-7.1476900E-01,1.3687E+00
-7.1470212E-01,1.3580E+00
-7.1463524E-01,1.4006E+00
-7.1456836E-01,1.3367E+00
-7.1450148E-01,1.3367E+00
-7.1443460E-01,1.3580E+00
-7.1436772E-01,1.3687E+00
-7.1430084E-01,1.3474E+00
-7.1423396E-01,1.3580E+00
-7.1416708E-01,1.3687E+00
-7.1410020E-01,1.3580E+00
-7.1403332E-01,1.3474E+00
-7.1396644E-01,1.3367E+00
-7.1389956E-01,1.3580E+00
-7.1383268E-01,1.3580E+00
-7.1376580E-01,1.3580E+00
-7.1369892E-01,1.3793E+00
-7.1363204E-01,1.3687E+00
-7.1356516E-01,1.3687E+00
-7.1349828E-01,1.3580E+00
-7.1343140E-01,1.3687E+00
-7.1336452E-01,1.3474E+00
-7.1329764E-01,1.3580E+00
-7.1323076E-01,1.3261E+00
-7.1316388E-01,1.3367E+00
-7.1309700E-01,1.3687E+00
-7.1303012E-01,1.4006E+00
-7.1296324E-01,1.3474E+00
-7.1289636E-01,1.3474E+00
-7.1282948E-01,1.3474E+00
-7.1276260E-01,1.3900E+00
-7.1269572E-01,1.3687E+00
-7.1262884E-01,1.3687E+00
-7.1256196E-01,1.3687E+00
-7.1249508E-01,1.3687E+00
-7.1242820E-01,1.3580E+00
-7.1236132E-01,1.3580E+00
-7.1229444E-01,1.3474E+00
-7.1222756E-01,1.3900E+00
-7.1216068E-01,1.3900E+00
-7.1209380E-01,1.3580E+00
-7.1202692E-01,1.3793E+00
-7.1196004E-01,1.3687E+00
-7.1189316E-01,1.3900E+00
-7.1182628E-01,1.3580E+00
-7.1175940E-01,1.3687E+00
-7.1169252E-01,1.3474E+00
-7.1162564E-01,1.3687E+00
-7.1155876E-01,1.3687E+00
-7.1149188E-01,1.3261E+00
-7.1142500E-01,1.3580E+00
-7.1135812E-01,1.3580E+00
-7.1129124E-01,1.3687E+00
-7.1122436E-01,1.3474E+00
-7.1115748E-01,1.3900E+00
-7.1109060E-01,1.3900E+00
-7.1102372E-01,1.3793E+00
-7.1095684E-01,1.3580E+00
-7.1088996E-01,1.3687E+00
-7.1082308E-01,1.3900E+00
-7.1075620E-01,1.3793E+00
-7.1068932E-01,1.3687E+00
-7.1062244E-01,1.3900E+00
-7.1055556E-01,1.3793E+00
-7.1048868E-01,1.3580E+00
-7.1042180E-01,1.3367E+00
-7.1035492E-01,1.3793E+00
-7.1028804E-01,1.3793E+00
-7.1022116E-01,1.3793E+00
-7.1015428E-01,1.3580E+00
-7.1008740E-01,1.3900E+00
-7.1002052E-01,1.3793E+00
-7.0995364E-01,1.3900E+00
-7.0988676E-01,1.3687E+00
-7.0981988E-01,1.3900E+00
-7.0975300E-01,1.3793E+00
-7.0968612E-01,1.3580E+00
-7.0961924E-01,1.3900E+00
-7.0955236E-01,1.3580E+00
-7.0948548E-01,1.3900E+00
-7.0941860E-01,1.4006E+00
-7.0935172E-01,1.3687E+00
-7.0928484E-01,1.3793E+00
-7.0921796E-01,1.3580E+00
-7.0915108E-01,1.3474E+00
-7.0908420E-01,1.3687E+00
-7.0901732E-01,1.3793E+00
-7.0895044E-01,1.3580E+00
-7.0888356E-01,1.3793E+00
-7.0881668E-01,1.3900E+00
-7.0874980E-01,1.3793E+00
-7.0868292E-01,1.3580E+00
-7.0861604E-01,1.3900E+00
-7.0854916E-01,1.3900E+00
-7.0848228E-01,1.3580E+00
-7.0841540E-01,1.3900E+00
-7.0834852E-01,1.3793E+00
-7.0828164E-01,1.3793E+00
-7.0821476E-01,1.3900E+00
-7.0814788E-01,1.3900E+00
-7.0808100E-01,1.3687E+00
-7.0801412E-01,1.3793E+00
-7.0794724E-01,1.4112E+00
-7.0788036E-01,1.3687E+00
-7.0781348E-01,1.3793E+00
-7.0774660E-01,1.3900E+00
-7.0767972E-01,1.3793E+00
-7.0761284E-01,1.3793E+00
-7.0754596E-01,1.3793E+00
-7.0747908E-01,1.4006E+00
-7.0741220E-01,1.3793E+00
-7.0734532E-01,1.3793E+00
-7.0727844E-01,1.3580E+00
-7.0721156E-01,1.3687E+00
-7.0714468E-01,1.4006E+00
-7.0707780E-01,1.4219E+00
-7.0701092E-01,1.4325E+00
-7.0694404E-01,1.3793E+00
-7.0687716E-01,1.3793E+00
-7.0681028E-01,1.4112E+00
-7.0674340E-01,1.4432E+00
-7.0667652E-01,1.4006E+00
-7.0660964E-01,1.4219E+00
-7.0654276E-01,1.4006E+00
-7.0647588E-01,1.3793E+00
-7.0640900E-01,1.4112E+00
-7.0634212E-01,1.4432E+00
-7.0627524E-01,1.4006E+00
-7.0620836E-01,1.4006E+00
-7.0614148E-01,1.3687E+00
-7.0607460E-01,1.4219E+00
-7.0600772E-01,1.4112E+00
-7.0594084E-01,1.3900E+00
-7.0587396E-01,1.4112E+00
-7.0580708E-01,1.4219E+00
-7.0574020E-01,1.4006E+00
-7.0567332E-01,1.4006E+00
-7.0560644E-01,1.4219E+00
-7.0553956E-01,1.4112E+00
-7.0547268E-01,1.4219E+00
-7.0540580E-01,1.4112E+00
-7.0533892E-01,1.4112E+00
-7.0527204E-01,1.4325E+00
-7.0520516E-01,1.4112E+00
-7.0513828E-01,1.4219E+00
-7.0507140E-01,1.4325E+00
-7.0500452E-01,1.4325E+00
-7.0493764E-01,1.4112E+00
-7.0487076E-01,1.4112E+00
-7.0480388E-01,1.4006E+00
-7.0473700E-01,1.4325E+00
-7.0467012E-01,1.4432E+00
-7.0460324E-01,1.4006E+00
-7.0453636E-01,1.4112E+00
-7.0446948E-01,1.4112E+00
-7.0440260E-01,1.3900E+00
-7.0433572E-01,1.4325E+00
-7.0426884E-01,1.3900E+00
-7.0420196E-01,1.4219E+00
-7.0413508E-01,1.4325E+00
-7.0406820E-01,1.4112E+00
-7.0400132E-01,1.4006E+00
-7.0393444E-01,1.4219E+00
-7.0386756E-01,1.4112E+00
-7.0380068E-01,1.4219E+00
-7.0373380E-01,1.4112E+00
-7.0366692E-01,1.4432E+00
-7.0360004E-01,1.4325E+00
-7.0353316E-01,1.4112E+00
-7.0346628E-01,1.4538E+00
-7.0339940E-01,1.4112E+00
-7.0333252E-01,1.4751E+00
-7.0326564E-01,1.4432E+00
-7.0319876E-01,1.4325E+00
-7.0313188E-01,1.4645E+00
-7.0306500E-01,1.4645E+00
-7.0299812E-01,1.4219E+00
-7.0293124E-01,1.4432E+00
-7.0286436E-01,1.4325E+00
-7.0279748E-01,1.4112E+00
-7.0273060E-01,1.4432E+00
-7.0266372E-01,1.3793E+00
-7.0259684E-01,1.4538E+00
-7.0252996E-01,1.4432E+00
-7.0246308E-01,1.4432E+00
-7.0239620E-01,1.4432E+00
-7.0232932E-01,1.4325E+00
-7.0226244E-01,1.4858E+00
-7.0219556E-01,1.4112E+00
-7.0212868E-01,1.4432E+00
-7.0206180E-01,1.4112E+00
-7.0199492E-01,1.4432E+00
-7.0192804E-01,1.4325E+00
-7.0186116E-01,1.4645E+00
-7.0179428E-01,1.4112E+00
-7.0172740E-01,1.4219E+00
-7.0166052E-01,1.4112E+00
-7.0159364E-01,1.4325E+00
-7.0152676E-01,1.4325E+00
-7.0145988E-01,1.4325E+00
-7.0139300E-01,1.4325E+00
-7.0132612E-01,1.4645E+00
-7.0125924E-01,1.4645E+00
-7.0119236E-01,1.4645E+00
